#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
ASM15162v1	DF091281.1	NW_004582754.1	DF091281.1	GPS_001613646.1
ASM15162v1	DF091282.1	NW_004582755.1	DF091282.1	GPS_001613647.1
ASM15162v1	DF091283.1	NW_004582756.1	DF091283.1	GPS_001613648.1
ASM15162v1	DF091284.1	NW_004582757.1	DF091284.1	GPS_001613649.1
ASM15162v1	DF091285.1	NW_004582758.1	DF091285.1	GPS_001613650.1
ASM15162v1	DF091286.1	NW_004582759.1	DF091286.1	GPS_001613651.1
ASM15162v1	DF091397.1	NW_004582760.1	DF091397.1	GPS_001613652.1
ASM15162v1	DF091398.1	NW_004582761.1	DF091398.1	GPS_001613653.1
ASM15162v1	DF091399.1	NW_004582762.1	DF091399.1	GPS_001613654.1
ASM15162v1	DF091400.1	NW_004582763.1	DF091400.1	GPS_001613655.1
ASM15162v1	DF091401.1	NW_004582764.1	DF091401.1	GPS_001613656.1
ASM15162v1	DF091402.1	NW_004582765.1	DF091402.1	GPS_001613657.1
ASM15162v1	DF091403.1	NW_004582766.1	DF091403.1	GPS_001613658.1
ASM15162v1	DF091404.1	NW_004582767.1	DF091404.1	GPS_001613659.1
ASM15162v1	DF091405.1	NW_004582768.1	DF091405.1	GPS_001613660.1
ASM15162v1	DF091406.1	NW_004582769.1	DF091406.1	GPS_001613661.1
ASM15162v1	DF091407.1	NW_004582770.1	DF091407.1	GPS_001613662.1
ASM15162v1	DF091408.1	NW_004582771.1	DF091408.1	GPS_001613663.1
ASM15162v1	DF091409.1	NW_004582772.1	DF091409.1	GPS_001613664.1
ASM15162v1	DF091410.1	NW_004582773.1	DF091410.1	GPS_001613665.1
ASM15162v1	DF091411.1	NW_004582774.1	DF091411.1	GPS_001613666.1
ASM15162v1	DF091412.1	NW_004582775.1	DF091412.1	GPS_001613667.1
ASM15162v1	DF091413.1	NW_004582776.1	DF091413.1	GPS_001613668.1
ASM15162v1	DF091414.1	NW_004582777.1	DF091414.1	GPS_001613669.1
ASM15162v1	DF091415.1	NW_004582778.1	DF091415.1	GPS_001613670.1
ASM15162v1	DF091416.1	NW_004582779.1	DF091416.1	GPS_001613671.1
ASM15162v1	DF091417.1	NW_004582780.1	DF091417.1	GPS_001613672.1
ASM15162v1	DF091418.1	NW_004582781.1	DF091418.1	GPS_001613673.1
ASM15162v1	DF091419.1	NW_004582782.1	DF091419.1	GPS_001613674.1
ASM15162v1	DF091420.1	NW_004582783.1	DF091420.1	GPS_001613675.1
ASM15162v1	DF091421.1	NW_004582784.1	DF091421.1	GPS_001613676.1
ASM15162v1	DF091422.1	NW_004582785.1	DF091422.1	GPS_001613677.1
ASM15162v1	DF091423.1	NW_004582786.1	DF091423.1	GPS_001613678.1
ASM15162v1	DF091424.1	NW_004582787.1	DF091424.1	GPS_001613679.1
ASM15162v1	DF091425.1	NW_004582788.1	DF091425.1	GPS_001613680.1
ASM15162v1	DF091426.1	NW_004582789.1	DF091426.1	GPS_001613681.1
ASM15162v1	DF091427.1	NW_004582790.1	DF091427.1	GPS_001613682.1
ASM15162v1	DF091428.1	NW_004582791.1	DF091428.1	GPS_001613683.1
ASM15162v1	DF091429.1	NW_004582792.1	DF091429.1	GPS_001613684.1
ASM15162v1	DF091430.1	NW_004582793.1	DF091430.1	GPS_001613685.1
ASM15162v1	DF091431.1	NW_004582794.1	DF091431.1	GPS_001613686.1
ASM15162v1	DF091432.1	NW_004582795.1	DF091432.1	GPS_001613687.1
ASM15162v1	DF091433.1	NW_004582796.1	DF091433.1	GPS_001613688.1
ASM15162v1	DF091434.1	NW_004582797.1	DF091434.1	GPS_001613689.1
ASM15162v1	DF091435.1	NW_004582798.1	DF091435.1	GPS_001613690.1
ASM15162v1	DF091436.1	NW_004582799.1	DF091436.1	GPS_001613691.1
ASM15162v1	DF091437.1	NW_004582800.1	DF091437.1	GPS_001613692.1
ASM15162v1	DF091438.1	NW_004582801.1	DF091438.1	GPS_001613693.1
ASM15162v1	DF091439.1	NW_004582802.1	DF091439.1	GPS_001613694.1
ASM15162v1	DF091440.1	NW_004582803.1	DF091440.1	GPS_001613695.1
ASM15162v1	DF091441.1	NW_004582804.1	DF091441.1	GPS_001613696.1
ASM15162v1	DF091442.1	NW_004582805.1	DF091442.1	GPS_001613697.1
ASM15162v1	DF091443.1	NW_004582806.1	DF091443.1	GPS_001613698.1
ASM15162v1	DF091444.1	NW_004582807.1	DF091444.1	GPS_001613699.1
ASM15162v1	DF091445.1	NW_004582808.1	DF091445.1	GPS_001613700.1
ASM15162v1	DF091446.1	NW_004582809.1	DF091446.1	GPS_001613701.1
ASM15162v1	DF091447.1	NW_004582810.1	DF091447.1	GPS_001613702.1
ASM15162v1	DF091448.1	NW_004582811.1	DF091448.1	GPS_001613703.1
ASM15162v1	DF091449.1	NW_004582812.1	DF091449.1	GPS_001613704.1
ASM15162v1	DF091450.1	NW_004582813.1	DF091450.1	GPS_001613705.1
ASM15162v1	DF091451.1	NW_004582814.1	DF091451.1	GPS_001613706.1
ASM15162v1	DF091452.1	NW_004582815.1	DF091452.1	GPS_001613707.1
ASM15162v1	DF091453.1	NW_004582816.1	DF091453.1	GPS_001613708.1
ASM15162v1	DF091454.1	NW_004582817.1	DF091454.1	GPS_001613709.1
ASM15162v1	DF091455.1	NW_004582818.1	DF091455.1	GPS_001613710.1
ASM15162v1	DF091456.1	NW_004582819.1	DF091456.1	GPS_001613711.1
ASM15162v1	DF091457.1	NW_004582820.1	DF091457.1	GPS_001613712.1
ASM15162v1	DF091458.1	NW_004582821.1	DF091458.1	GPS_001613713.1
ASM15162v1	DF091459.1	NW_004582822.1	DF091459.1	GPS_001613714.1
ASM15162v1	DF091460.1	NW_004582823.1	DF091460.1	GPS_001613715.1
ASM15162v1	DF091461.1	NW_004582824.1	DF091461.1	GPS_001613716.1
ASM15162v1	DF091462.1	NW_004582825.1	DF091462.1	GPS_001613717.1
ASM15162v1	DF091463.1	NW_004582826.1	DF091463.1	GPS_001613718.1
ASM15162v1	DF091464.1	NW_004582827.1	DF091464.1	GPS_001613719.1
ASM15162v1	DF091465.1	NW_004582828.1	DF091465.1	GPS_001613720.1
ASM15162v1	DF091466.1	NW_004582829.1	DF091466.1	GPS_001613721.1
ASM15162v1	DF091467.1	NW_004582830.1	DF091467.1	GPS_001613722.1
ASM15162v1	DF091468.1	NW_004582831.1	DF091468.1	GPS_001613723.1
ASM15162v1	DF091469.1	NW_004582832.1	DF091469.1	GPS_001613724.1
ASM15162v1	DF091470.1	NW_004582833.1	DF091470.1	GPS_001613725.1
ASM15162v1	DF091471.1	NW_004582834.1	DF091471.1	GPS_001613726.1
ASM15162v1	DF091472.1	NW_004582835.1	DF091472.1	GPS_001613727.1
ASM15162v1	DF091473.1	NW_004582836.1	DF091473.1	GPS_001613728.1
ASM15162v1	DF091474.1	NW_004582837.1	DF091474.1	GPS_001613729.1
ASM15162v1	DF091475.1	NW_004582838.1	DF091475.1	GPS_001613730.1
ASM15162v1	DF091476.1	NW_004582839.1	DF091476.1	GPS_001613731.1
ASM15162v1	DF091477.1	NW_004582840.1	DF091477.1	GPS_001613732.1
ASM15162v1	DF091478.1	NW_004582841.1	DF091478.1	GPS_001613733.1
ASM15162v1	DF091479.1	NW_004582842.1	DF091479.1	GPS_001613734.1
ASM15162v1	DF091480.1	NW_004582843.1	DF091480.1	GPS_001613735.1
ASM15162v1	DF091481.1	NW_004582844.1	DF091481.1	GPS_001613736.1
ASM15162v1	DF091482.1	NW_004582845.1	DF091482.1	GPS_001613737.1
ASM15162v1	DF091483.1	NW_004582846.1	DF091483.1	GPS_001613738.1
ASM15162v1	DF091484.1	NW_004582847.1	DF091484.1	GPS_001613739.1
ASM15162v1	DF091485.1	NW_004582848.1	DF091485.1	GPS_001613740.1
ASM15162v1	DF091486.1	NW_004582849.1	DF091486.1	GPS_001613741.1
ASM15162v1	DF091487.1	NW_004582850.1	DF091487.1	GPS_001613742.1
ASM15162v1	DF091488.1	NW_004582851.1	DF091488.1	GPS_001613743.1
ASM15162v1	DF091489.1	NW_004582852.1	DF091489.1	GPS_001613744.1
ASM15162v1	DF091490.1	NW_004582853.1	DF091490.1	GPS_001613745.1
ASM15162v1	DF091491.1	NW_004582854.1	DF091491.1	GPS_001613746.1
ASM15162v1	DF091492.1	NW_004582855.1	DF091492.1	GPS_001613747.1
ASM15162v1	DF091904.1	NW_004582856.1	DF091904.1	GPS_001613748.1
ASM15162v1	DF091905.1	NW_004582857.1	DF091905.1	GPS_001613749.1
ASM15162v1	DF091906.1	NW_004582858.1	DF091906.1	GPS_001613750.1
ASM15162v1	DF091907.1	NW_004582859.1	DF091907.1	GPS_001613751.1
ASM15162v1	DF091908.1	NW_004582860.1	DF091908.1	GPS_001613752.1
ASM15162v1	DF091909.1	NW_004582861.1	DF091909.1	GPS_001613753.1
ASM15162v1	DF091910.1	NW_004582862.1	DF091910.1	GPS_001613754.1
ASM15162v1	DF091911.1	NW_004582863.1	DF091911.1	GPS_001613755.1
ASM15162v1	DF091912.1	NW_004582864.1	DF091912.1	GPS_001613756.1
ASM15162v1	DF091913.1	NW_004582865.1	DF091913.1	GPS_001613757.1
ASM15162v1	DF091914.1	NW_004582866.1	DF091914.1	GPS_001613758.1
ASM15162v1	DF091915.1	NW_004582867.1	DF091915.1	GPS_001613759.1
ASM15162v1	DF091916.1	NW_004582868.1	DF091916.1	GPS_001613760.1
ASM15162v1	DF091917.1	NW_004582869.1	DF091917.1	GPS_001613761.1
ASM15162v1	DF091918.1	NW_004582870.1	DF091918.1	GPS_001613762.1
ASM15162v1	DF091919.1	NW_004582871.1	DF091919.1	GPS_001613763.1
ASM15162v1	DF091920.1	NW_004582872.1	DF091920.1	GPS_001613764.1
ASM15162v1	DF091921.1	NW_004582873.1	DF091921.1	GPS_001613765.1
ASM15162v1	DF091922.1	NW_004582874.1	DF091922.1	GPS_001613766.1
ASM15162v1	DF091923.1	NW_004582875.1	DF091923.1	GPS_001613767.1
ASM15162v1	DF091924.1	NW_004582876.1	DF091924.1	GPS_001613768.1
ASM15162v1	DF091925.1	NW_004582877.1	DF091925.1	GPS_001613769.1
ASM15162v1	DF091926.1	NW_004582878.1	DF091926.1	GPS_001613770.1
ASM15162v1	DF091927.1	NW_004582879.1	DF091927.1	GPS_001613771.1
ASM15162v1	DF091928.1	NW_004582880.1	DF091928.1	GPS_001613772.1
ASM15162v1	DF091929.1	NW_004582881.1	DF091929.1	GPS_001613773.1
ASM15162v1	DF091930.1	NW_004582882.1	DF091930.1	GPS_001613774.1
ASM15162v1	DF091931.1	NW_004582883.1	DF091931.1	GPS_001613775.1
ASM15162v1	DF091932.1	NW_004582884.1	DF091932.1	GPS_001613776.1
ASM15162v1	DF091933.1	NW_004582885.1	DF091933.1	GPS_001613777.1
ASM15162v1	DF091934.1	NW_004582886.1	DF091934.1	GPS_001613778.1
ASM15162v1	DF091935.1	NW_004582887.1	DF091935.1	GPS_001613779.1
ASM15162v1	DF091936.1	NW_004582888.1	DF091936.1	GPS_001613780.1
ASM15162v1	DF091937.1	NW_004582889.1	DF091937.1	GPS_001613781.1
ASM15162v1	DF091938.1	NW_004582890.1	DF091938.1	GPS_001613782.1
ASM15162v1	DF091939.1	NW_004582891.1	DF091939.1	GPS_001613783.1
ASM15162v1	DF091940.1	NW_004582892.1	DF091940.1	GPS_001613784.1
ASM15162v1	DF091941.1	NW_004582893.1	DF091941.1	GPS_001613785.1
ASM15162v1	DF091942.1	NW_004582894.1	DF091942.1	GPS_001613786.1
ASM15162v1	DF091943.1	NW_004582895.1	DF091943.1	GPS_001613787.1
ASM15162v1	DF091944.1	NW_004582896.1	DF091944.1	GPS_001613788.1
ASM15162v1	DF091945.1	NW_004582897.1	DF091945.1	GPS_001613789.1
ASM15162v1	DF091946.1	NW_004582898.1	DF091946.1	GPS_001613790.1
ASM15162v1	DF091947.1	NW_004582899.1	DF091947.1	GPS_001613791.1
ASM15162v1	DF091948.1	NW_004582900.1	DF091948.1	GPS_001613792.1
ASM15162v1	DF091949.1	NW_004582901.1	DF091949.1	GPS_001613793.1
ASM15162v1	DF091950.1	NW_004582902.1	DF091950.1	GPS_001613794.1
ASM15162v1	DF091951.1	NW_004582903.1	DF091951.1	GPS_001613795.1
ASM15162v1	DF091952.1	NW_004582904.1	DF091952.1	GPS_001613796.1
ASM15162v1	DF091953.1	NW_004582905.1	DF091953.1	GPS_001613797.1
ASM15162v1	DF091954.1	NW_004582906.1	DF091954.1	GPS_001613798.1
ASM15162v1	DF091955.1	NW_004582907.1	DF091955.1	GPS_001613799.1
ASM15162v1	DF091956.1	NW_004582908.1	DF091956.1	GPS_001613800.1
ASM15162v1	DF091957.1	NW_004582909.1	DF091957.1	GPS_001613801.1
ASM15162v1	DF091958.1	NW_004582910.1	DF091958.1	GPS_001613802.1
ASM15162v1	DF091959.1	NW_004582911.1	DF091959.1	GPS_001613803.1
ASM15162v1	DF091960.1	NW_004582912.1	DF091960.1	GPS_001613804.1
ASM15162v1	DF091961.1	NW_004582913.1	DF091961.1	GPS_001613805.1
ASM15162v1	DF091962.1	NW_004582914.1	DF091962.1	GPS_001613806.1
ASM15162v1	DF091963.1	NW_004582915.1	DF091963.1	GPS_001613807.1
ASM15162v1	DF091964.1	NW_004582916.1	DF091964.1	GPS_001613808.1
ASM15162v1	DF091965.1	NW_004582917.1	DF091965.1	GPS_001613809.1
ASM15162v1	DF091966.1	NW_004582918.1	DF091966.1	GPS_001613810.1
ASM15162v1	DF091967.1	NW_004582919.1	DF091967.1	GPS_001613811.1
ASM15162v1	DF091968.1	NW_004582920.1	DF091968.1	GPS_001613812.1
ASM15162v1	DF091969.1	NW_004582921.1	DF091969.1	GPS_001613813.1
ASM15162v1	DF091970.1	NW_004582922.1	DF091970.1	GPS_001613814.1
ASM15162v1	DF091971.1	NW_004582923.1	DF091971.1	GPS_001613815.1
ASM15162v1	DF091972.1	NW_004582924.1	DF091972.1	GPS_001613816.1
ASM15162v1	DF091973.1	NW_004582925.1	DF091973.1	GPS_001613817.1
ASM15162v1	DF091974.1	NW_004582926.1	DF091974.1	GPS_001613818.1
ASM15162v1	DF091975.1	NW_004582927.1	DF091975.1	GPS_001613819.1
ASM15162v1	DF091976.1	NW_004582928.1	DF091976.1	GPS_001613820.1
ASM15162v1	DF091977.1	NW_004582929.1	DF091977.1	GPS_001613821.1
ASM15162v1	DF091978.1	NW_004582930.1	DF091978.1	GPS_001613822.1
ASM15162v1	DF091979.1	NW_004582931.1	DF091979.1	GPS_001613823.1
ASM15162v1	DF091980.1	NW_004582932.1	DF091980.1	GPS_001613824.1
ASM15162v1	DF091981.1	NW_004582933.1	DF091981.1	GPS_001613825.1
ASM15162v1	DF091982.1	NW_004582934.1	DF091982.1	GPS_001613826.1
ASM15162v1	DF091983.1	NW_004582935.1	DF091983.1	GPS_001613827.1
ASM15162v1	DF091984.1	NW_004582936.1	DF091984.1	GPS_001613828.1
ASM15162v1	DF091985.1	NW_004582937.1	DF091985.1	GPS_001613829.1
ASM15162v1	DF091986.1	NW_004582938.1	DF091986.1	GPS_001613830.1
ASM15162v1	DF091987.1	NW_004582939.1	DF091987.1	GPS_001613831.1
ASM15162v1	DF091988.1	NW_004582940.1	DF091988.1	GPS_001613832.1
ASM15162v1	DF091989.1	NW_004582941.1	DF091989.1	GPS_001613833.1
ASM15162v1	DF091990.1	NW_004582942.1	DF091990.1	GPS_001613834.1
ASM15162v1	DF091991.1	NW_004582943.1	DF091991.1	GPS_001613835.1
ASM15162v1	DF091992.1	NW_004582944.1	DF091992.1	GPS_001613836.1
ASM15162v1	DF091993.1	NW_004582945.1	DF091993.1	GPS_001613837.1
ASM15162v1	DF091994.1	NW_004582946.1	DF091994.1	GPS_001613838.1
ASM15162v1	DF091995.1	NW_004582947.1	DF091995.1	GPS_001613839.1
ASM15162v1	DF091996.1	NW_004582948.1	DF091996.1	GPS_001613840.1
ASM15162v1	DF091997.1	NW_004582949.1	DF091997.1	GPS_001613841.1
ASM15162v1	DF091998.1	NW_004582950.1	DF091998.1	GPS_001613842.1
ASM15162v1	DF091999.1	NW_004582951.1	DF091999.1	GPS_001613843.1
ASM15162v1	DF092000.1	NW_004582952.1	DF092000.1	GPS_001613844.1
ASM15162v1	DF092001.1	NW_004582953.1	DF092001.1	GPS_001613845.1
ASM15162v1	DF092002.1	NW_004582954.1	DF092002.1	GPS_001613846.1
ASM15162v1	DF092003.1	NW_004582955.1	DF092003.1	GPS_001613847.1
ASM15162v1	DF092004.1	NW_004582956.1	DF092004.1	GPS_001613848.1
ASM15162v1	DF092005.1	NW_004582957.1	DF092005.1	GPS_001613849.1
ASM15162v1	DF092006.1	NW_004582958.1	DF092006.1	GPS_001613850.1
ASM15162v1	DF092007.1	NW_004582959.1	DF092007.1	GPS_001613851.1
ASM15162v1	DF092008.1	NW_004582960.1	DF092008.1	GPS_001613852.1
ASM15162v1	DF092009.1	NW_004582961.1	DF092009.1	GPS_001613853.1
ASM15162v1	DF092010.1	NW_004582962.1	DF092010.1	GPS_001613854.1
ASM15162v1	DF092011.1	NW_004582963.1	DF092011.1	GPS_001613855.1
ASM15162v1	DF092012.1	NW_004582964.1	DF092012.1	GPS_001613856.1
ASM15162v1	DF092013.1	NW_004582965.1	DF092013.1	GPS_001613857.1
ASM15162v1	DF092014.1	NW_004582966.1	DF092014.1	GPS_001613858.1
ASM15162v1	DF092015.1	NW_004582967.1	DF092015.1	GPS_001613859.1
ASM15162v1	DF092016.1	NW_004582968.1	DF092016.1	GPS_001613860.1
ASM15162v1	DF092017.1	NW_004582969.1	DF092017.1	GPS_001613861.1
ASM15162v1	DF092018.1	NW_004582970.1	DF092018.1	GPS_001613862.1
ASM15162v1	DF092019.1	NW_004582971.1	DF092019.1	GPS_001613863.1
ASM15162v1	DF092020.1	NW_004582972.1	DF092020.1	GPS_001613864.1
ASM15162v1	DF092021.1	NW_004582973.1	DF092021.1	GPS_001613865.1
ASM15162v1	DF092022.1	NW_004582974.1	DF092022.1	GPS_001613866.1
ASM15162v1	DF092023.1	NW_004582975.1	DF092023.1	GPS_001613867.1
ASM15162v1	DF092024.1	NW_004582976.1	DF092024.1	GPS_001613868.1
ASM15162v1	DF092025.1	NW_004582977.1	DF092025.1	GPS_001613869.1
ASM15162v1	DF092026.1	NW_004582978.1	DF092026.1	GPS_001613870.1
ASM15162v1	DF092027.1	NW_004582979.1	DF092027.1	GPS_001613871.1
ASM15162v1	DF092028.1	NW_004582980.1	DF092028.1	GPS_001613872.1
ASM15162v1	DF092029.1	NW_004582981.1	DF092029.1	GPS_001613873.1
ASM15162v1	DF092030.1	NW_004582982.1	DF092030.1	GPS_001613874.1
ASM15162v1	DF092031.1	NW_004582983.1	DF092031.1	GPS_001613875.1
ASM15162v1	DF092032.1	NW_004582984.1	DF092032.1	GPS_001613876.1
ASM15162v1	DF092033.1	NW_004582985.1	DF092033.1	GPS_001613877.1
ASM15162v1	DF092034.1	NW_004582986.1	DF092034.1	GPS_001613878.1
ASM15162v1	DF092035.1	NW_004582987.1	DF092035.1	GPS_001613879.1
ASM15162v1	DF092036.1	NW_004582988.1	DF092036.1	GPS_001613880.1
ASM15162v1	DF092037.1	NW_004582989.1	DF092037.1	GPS_001613881.1
ASM15162v1	DF092038.1	NW_004582990.1	DF092038.1	GPS_001613882.1
ASM15162v1	DF092039.1	NW_004582991.1	DF092039.1	GPS_001613883.1
ASM15162v1	DF092040.1	NW_004582992.1	DF092040.1	GPS_001613884.1
ASM15162v1	DF092041.1	NW_004582993.1	DF092041.1	GPS_001613885.1
ASM15162v1	DF092042.1	NW_004582994.1	DF092042.1	GPS_001613886.1
ASM15162v1	DF092043.1	NW_004582995.1	DF092043.1	GPS_001613887.1
ASM15162v1	DF092044.1	NW_004582996.1	DF092044.1	GPS_001613888.1
ASM15162v1	DF092045.1	NW_004582997.1	DF092045.1	GPS_001613889.1
ASM15162v1	DF092046.1	NW_004582998.1	DF092046.1	GPS_001613890.1
ASM15162v1	DF092047.1	NW_004582999.1	DF092047.1	GPS_001613891.1
ASM15162v1	DF092048.1	NW_004583000.1	DF092048.1	GPS_001613892.1
ASM15162v1	DF092049.1	NW_004583001.1	DF092049.1	GPS_001613893.1
ASM15162v1	DF092050.1	NW_004583002.1	DF092050.1	GPS_001613894.1
ASM15162v1	DF092051.1	NW_004583003.1	DF092051.1	GPS_001613895.1
ASM15162v1	DF092052.1	NW_004583004.1	DF092052.1	GPS_001613896.1
ASM15162v1	DF092053.1	NW_004583005.1	DF092053.1	GPS_001613897.1
ASM15162v1	DF092054.1	NW_004583006.1	DF092054.1	GPS_001613898.1
ASM15162v1	DF092055.1	NW_004583007.1	DF092055.1	GPS_001613899.1
ASM15162v1	DF092056.1	NW_004583008.1	DF092056.1	GPS_001613900.1
ASM15162v1	DF092057.1	NW_004583009.1	DF092057.1	GPS_001613901.1
ASM15162v1	DF092058.1	NW_004583010.1	DF092058.1	GPS_001613902.1
ASM15162v1	DF092059.1	NW_004583011.1	DF092059.1	GPS_001613903.1
ASM15162v1	DF092060.1	NW_004583012.1	DF092060.1	GPS_001613904.1
ASM15162v1	DF092061.1	NW_004583013.1	DF092061.1	GPS_001613905.1
ASM15162v1	DF092062.1	NW_004583014.1	DF092062.1	GPS_001613906.1
ASM15162v1	DF092063.1	NW_004583015.1	DF092063.1	GPS_001613907.1
ASM15162v1	DF092064.1	NW_004583016.1	DF092064.1	GPS_001613908.1
ASM15162v1	DF092065.1	NW_004583017.1	DF092065.1	GPS_001613909.1
ASM15162v1	DF092066.1	NW_004583018.1	DF092066.1	GPS_001613910.1
ASM15162v1	DF092067.1	NW_004583019.1	DF092067.1	GPS_001613911.1
ASM15162v1	DF092068.1	NW_004583020.1	DF092068.1	GPS_001613912.1
ASM15162v1	DF092069.1	NW_004583021.1	DF092069.1	GPS_001613913.1
ASM15162v1	DF092070.1	NW_004583022.1	DF092070.1	GPS_001613914.1
ASM15162v1	DF092071.1	NW_004583023.1	DF092071.1	GPS_001613915.1
ASM15162v1	DF092072.1	NW_004583024.1	DF092072.1	GPS_001613916.1
ASM15162v1	DF092073.1	NW_004583025.1	DF092073.1	GPS_001613917.1
ASM15162v1	DF092074.1	NW_004583026.1	DF092074.1	GPS_001613918.1
ASM15162v1	DF092075.1	NW_004583027.1	DF092075.1	GPS_001613919.1
ASM15162v1	DF092076.1	NW_004583028.1	DF092076.1	GPS_001613920.1
ASM15162v1	DF092077.1	NW_004583029.1	DF092077.1	GPS_001613921.1
ASM15162v1	DF092078.1	NW_004583030.1	DF092078.1	GPS_001613922.1
ASM15162v1	DF092079.1	NW_004583031.1	DF092079.1	GPS_001613923.1
ASM15162v1	DF092080.1	NW_004583032.1	DF092080.1	GPS_001613924.1
ASM15162v1	DF092081.1	NW_004583033.1	DF092081.1	GPS_001613925.1
ASM15162v1	DF092082.1	NW_004583034.1	DF092082.1	GPS_001613926.1
ASM15162v1	DF092083.1	NW_004583035.1	DF092083.1	GPS_001613927.1
ASM15162v1	DF092084.1	NW_004583036.1	DF092084.1	GPS_001613928.1
ASM15162v1	DF092085.1	NW_004583037.1	DF092085.1	GPS_001613929.1
ASM15162v1	DF092086.1	NW_004583038.1	DF092086.1	GPS_001613930.1
ASM15162v1	DF092087.1	NW_004583039.1	DF092087.1	GPS_001613931.1
ASM15162v1	DF092088.1	NW_004583040.1	DF092088.1	GPS_001613932.1
ASM15162v1	DF092089.1	NW_004583041.1	DF092089.1	GPS_001613933.1
ASM15162v1	DF092090.1	NW_004583042.1	DF092090.1	GPS_001613934.1
ASM15162v1	DF092091.1	NW_004583043.1	DF092091.1	GPS_001613935.1
ASM15162v1	DF092092.1	NW_004583044.1	DF092092.1	GPS_001613936.1
ASM15162v1	DF092093.1	NW_004583045.1	DF092093.1	GPS_001613937.1
ASM15162v1	DF092094.1	NW_004583046.1	DF092094.1	GPS_001613938.1
ASM15162v1	DF092095.1	NW_004583047.1	DF092095.1	GPS_001613939.1
ASM15162v1	DF092096.1	NW_004583048.1	DF092096.1	GPS_001613940.1
ASM15162v1	DF092097.1	NW_004583049.1	DF092097.1	GPS_001613941.1
ASM15162v1	DF092098.1	NW_004583050.1	DF092098.1	GPS_001613942.1
ASM15162v1	DF092099.1	NW_004583051.1	DF092099.1	GPS_001613943.1
ASM15162v1	DF092100.1	NW_004583052.1	DF092100.1	GPS_001613944.1
ASM15162v1	DF092101.1	NW_004583053.1	DF092101.1	GPS_001613945.1
ASM15162v1	DF092102.1	NW_004583054.1	DF092102.1	GPS_001613946.1
ASM15162v1	DF092103.1	NW_004583055.1	DF092103.1	GPS_001613947.1
ASM15162v1	DF092104.1	NW_004583056.1	DF092104.1	GPS_001613948.1
ASM15162v1	DF092105.1	NW_004583057.1	DF092105.1	GPS_001613949.1
ASM15162v1	DF092106.1	NW_004583058.1	DF092106.1	GPS_001613950.1
ASM15162v1	DF092107.1	NW_004583059.1	DF092107.1	GPS_001613951.1
ASM15162v1	DF092108.1	NW_004583060.1	DF092108.1	GPS_001613952.1
ASM15162v1	DF092109.1	NW_004583061.1	DF092109.1	GPS_001613953.1
ASM15162v1	DF092110.1	NW_004583062.1	DF092110.1	GPS_001613954.1
ASM15162v1	DF092111.1	NW_004583063.1	DF092111.1	GPS_001613955.1
ASM15162v1	DF092112.1	NW_004583064.1	DF092112.1	GPS_001613956.1
ASM15162v1	DF092113.1	NW_004583065.1	DF092113.1	GPS_001613957.1
ASM15162v1	DF092114.1	NW_004583066.1	DF092114.1	GPS_001613958.1
ASM15162v1	DF092115.1	NW_004583067.1	DF092115.1	GPS_001613959.1
ASM15162v1	DF092116.1	NW_004583068.1	DF092116.1	GPS_001613960.1
ASM15162v1	na	NW_004583069.1	BABH01088672.1	GPS_001613961.1
ASM15162v1	na	NW_004583070.1	BABH01088671.1	GPS_001613962.1
ASM15162v1	na	NW_004583071.1	BABH01088670.1	GPS_001613963.1
ASM15162v1	na	NW_004583072.1	BABH01088669.1	GPS_001613964.1
ASM15162v1	na	NW_004583073.1	BABH01088668.1	GPS_001613965.1
ASM15162v1	na	NW_004583074.1	BABH01088667.1	GPS_001613966.1
ASM15162v1	na	NW_004583075.1	BABH01088666.1	GPS_001613967.1
ASM15162v1	na	NW_004583076.1	BABH01088665.1	GPS_001613968.1
ASM15162v1	na	NW_004583077.1	BABH01088664.1	GPS_001613969.1
ASM15162v1	na	NW_004583078.1	BABH01088663.1	GPS_001613970.1
ASM15162v1	na	NW_004583079.1	BABH01088662.1	GPS_001613971.1
ASM15162v1	na	NW_004583080.1	BABH01088661.1	GPS_001613972.1
ASM15162v1	na	NW_004583081.1	BABH01088660.1	GPS_001613973.1
ASM15162v1	na	NW_004583082.1	BABH01088659.1	GPS_001613974.1
ASM15162v1	na	NW_004583083.1	BABH01088658.1	GPS_001613975.1
ASM15162v1	na	NW_004583084.1	BABH01088657.1	GPS_001613976.1
ASM15162v1	na	NW_004583085.1	BABH01088656.1	GPS_001613977.1
ASM15162v1	na	NW_004583086.1	BABH01088655.1	GPS_001613978.1
ASM15162v1	na	NW_004583087.1	BABH01088654.1	GPS_001613979.1
ASM15162v1	na	NW_004583088.1	BABH01088653.1	GPS_001613980.1
ASM15162v1	na	NW_004583089.1	BABH01088652.1	GPS_001613981.1
ASM15162v1	na	NW_004583090.1	BABH01088651.1	GPS_001613982.1
ASM15162v1	na	NW_004583091.1	BABH01088650.1	GPS_001613983.1
ASM15162v1	na	NW_004583092.1	BABH01088649.1	GPS_001613984.1
ASM15162v1	na	NW_004583093.1	BABH01088648.1	GPS_001613985.1
ASM15162v1	na	NW_004583094.1	BABH01088647.1	GPS_001613986.1
ASM15162v1	na	NW_004583095.1	BABH01088646.1	GPS_001613987.1
